index,Слово,Часть речи,Род,Число,Падеж,Ударение
0,страда,сущ,жен,ед,0,6
1,гангрена,сущ,жен,ед,0,6
2,многозначительность,сущ,жен,ед,0,3
3,продажа,сущ,жен,ед,0,5
4,полировка,сущ,жен,ед,0,6
5,подсказка,сущ,жен,ед,0,6
6,рф,сущ,жен,ед,0,-1
7,статейка,сущ,жен,ед,0,5
8,гордость,сущ,жен,ед,0,2
9,нарезка,сущ,жен,ед,0,4
10,лапочка,сущ,жен,ед,0,2
11,психофизиология,сущ,жен,ед,0,12
12,металлообработка,сущ,жен,ед,0,13
13,свёртка,сущ,жен,ед,0,3
14,вылазка,сущ,жен,ед,0,2
15,музыка,сущ,жен,ед,0,2
16,турпоездка,сущ,жен,ед,0,6
17,тайна,сущ,жен,ед,0,2
18,черепушка,сущ,жен,ед,0,6
19,каталогизация,сущ,жен,ед,0,2
20,лика,сущ,жен,ед,0,2
21,молотилка,сущ,жен,ед,0,6
22,петеровна,сущ,жен,ед,0,2
23,кривая,сущ,жен,ед,0,5
24,фляга,сущ,жен,ед,0,3
25,сафина,сущ,жен,ед,0,2
26,гордячка,сущ,жен,ед,0,5
27,башня,сущ,жен,ед,0,2
28,кабала,сущ,жен,ед,0,6
29,плакальщица,сущ,жен,ед,0,3
30,паутинка,сущ,жен,ед,0,5
31,норман,сущ,жен,ед,0,2
32,жандармерия,сущ,жен,ед,0,8
33,чехарда,сущ,жен,ед,0,7
34,стамеска,сущ,жен,ед,0,5
35,низина,сущ,жен,ед,0,4
36,капсула,сущ,жен,ед,0,2
37,шатенка,сущ,жен,ед,0,4
38,фуфайка,сущ,жен,ед,0,2
39,астрология,сущ,жен,ед,0,7
40,грампластинка,сущ,жен,ед,0,10
41,горячность,сущ,жен,ед,0,4
42,кинохроника,сущ,жен,ед,0,7
43,гигиена,сущ,жен,ед,0,5
44,развратница,сущ,жен,ед,0,2
45,совместимость,сущ,жен,ед,0,8
46,юрьева,сущ,жен,ед,0,1
47,покровская,сущ,жен,ед,0,5
48,упаковка,сущ,жен,ед,0,5
49,фельдшерица,сущ,жен,ед,0,9
50,воронцова,сущ,жен,ед,0,2
51,пермь,сущ,жен,ед,0,2
52,озлобленность,сущ,жен,ед,0,4
53,пилка,сущ,жен,ед,0,2
54,иллюстрация,сущ,жен,ед,0,11
55,бирюлька,сущ,жен,ед,0,2
56,безжалостность,сущ,жен,ед,0,5
57,тупица,сущ,жен,ед,0,4
58,отзывчивость,сущ,жен,ед,0,4
59,база,сущ,жен,ед,0,2
60,задоринка,сущ,жен,ед,0,4
61,кровля,сущ,жен,ед,0,3
62,непереносимость,сущ,жен,ед,0,10
63,дизъюнкция,сущ,жен,ед,0,2
64,фредовна,сущ,жен,ед,0,3
65,соковыжималка,сущ,жен,ед,0,10
66,шираковна,сущ,жен,ед,0,2
67,уголовка,сущ,жен,ед,0,1
68,цельность,сущ,жен,ед,0,2
69,уплата,сущ,жен,ед,0,4
70,популяция,сущ,жен,ед,0,6
71,смесь,сущ,жен,ед,0,3
72,тарасова,сущ,жен,ед,0,4
73,трусость,сущ,жен,ед,0,3
74,ольга,сущ,жен,ед,0,1
75,установка,сущ,жен,ед,0,6
76,декоративность,сущ,жен,ед,0,8
77,геенна,сущ,жен,ед,0,3
78,абсолютизация,сущ,жен,ед,0,10
79,нетерпимость,сущ,жен,ед,0,7
80,девственница,сущ,жен,ед,0,2
81,переменка,сущ,жен,ед,0,2
82,запятая,сущ,жен,ед,0,6
83,пивная,сущ,жен,ед,0,2
84,причёска,сущ,жен,ед,0,5
85,электрификация,сущ,жен,ед,0,11
86,свадьба,сущ,жен,ед,0,3
87,шейка,сущ,жен,ед,0,2
88,элиминация,сущ,жен,ед,0,7
89,пригодность,сущ,жен,ед,0,5
90,магистратура,сущ,жен,ед,0,10
91,разделка,сущ,жен,ед,0,5
92,транспортабельность,сущ,жен,ед,0,10
93,черномырдина,сущ,жен,ед,0,2
94,щербинка,сущ,жен,ед,0,5
95,тётя,сущ,жен,ед,0,2
96,дисциплинированность,сущ,жен,ед,0,10
97,фляжка,сущ,жен,ед,0,3
98,неурядица,сущ,жен,ед,0,5
99,раскрываемость,сущ,жен,ед,0,8
100,горочка,сущ,жен,ед,0,2
101,пещерка,сущ,жен,ед,0,4
102,оккупация,сущ,жен,ед,0,6
103,девятка,сущ,жен,ед,0,4
104,шиншилла,сущ,жен,ед,0,5
105,пыль,сущ,жен,ед,0,2
106,инвариантность,сущ,жен,ед,0,7
107,людочка,сущ,жен,ед,0,2
108,греховность,сущ,жен,ед,0,3
